7,26,61,85,106,227,266,283,293,339
340,362,389,415,436,533,590,639,643,658
681,682,695,721,783,852,864,879,1013,1050
1055,1111,1160,1222,1224,1269,1294,1313,1321,1348
1357,1365,1369,1424,1436,1472,1514,1535,1597,1648
1719,1719,1746,1855,1891,1923,2047,2059,2069,2069
2131,2144,2166,2220,2225,2265,2289,2341,2360,2362
2418,2424,2427,2453,2508,2583,2632,2647,2660,2685
2833,2857,2870,2921,2924,2976,3023,3123,3143,3152
3186,3195,3203,3234,3349,3400,3422,3442,3485,3505
3521,3531,3549,3684,3731,3755,3829,3922,3943,3956
3970,3999,4026,4036,4048,4065,4089,4111,4141,4159
4175,4198,4221,4235,4258,4263,4306,4424,4489,4503
4615,4685,4710,4743,4901,4904,4925,4961,4968,4982
4984,4985,5008,5022,5074,5080,5099,5120,5226,5234
5234,5376,5435,5474,5624,5633,5633,5640,5650,5662
5877,5887,5918,5973,6011,6022,6032,6032,6140,6187
6232,6249,6334,6338,6338,6386,6450,6475,6491,6494
6574,6624,6632,6688,6724,6740,6835,6854,6864,6917
6966,6967,6985,6986,7049,7067,7068,7071,7073,7076
7143,7157,7168,7181,7199,7318,7370,7416,7442,7463
7550,7574,7585,7611,7619,7623,7704,7762,7859,7957
7960,8044,8060,8153,8198,8229,8229,8296,8372,8406
8421,8434,8441,8488,8491,8586,8616,8616,8649,8709
8758,8859,8870,9031,9056,9096,9127,9188,9257,9300
9333,9370,9440,9442,9482,9506,9509,9514,9557,9638
9670,9670,9708,9778,9812,9831,9849,9921,9977,10002
10013,10013,10020,10065,10081,10114,10140,10169,10188,10192
10244,10245,10299,10319,10326,10339,10408,10468,10517,10541
10563,10582,10628,10645,10701,10829,10845,10853,10874,10876
10889,10919,10926,10972,11144,11150,11195,11227,11229,11251
11256,11263,11307,11317,11329,11361,11392,11410,11410,11447
11494,11540,11548,11571,11595,11603,11651,11672,11779,11793
11808,11820,11907,11927,11928,11988,12077,12104,12193,12206
12283,12304,12377,12401,12403,12430,12516,12521,12577,12644
12681,12712,12726,12774,12782,12816,12832,12934,12939,12967
13000,13010,13039,13098,13101,13136,13139,13160,13179,13217
13217,13241,13259,13267,13298,13322,13341,13367,13416,13464
